Nom municipi,Districte,Secció,Cens electoral,Votants,xcoord,ycoord,MUNICIPI,area,Turnout,Density
ARGENÇOLA,1,1,177,117,1.45463966134576,41.5951230671974,80082.0,47382323.3306885,0.6610169491525424,3.735570304661717
L'ARMENTERA,1,1,654,481,3.08550633437877,42.165630761361,170118.0,5845346.14208984,0.735474006116208,111.8838789187907
ARNES,1,1,376,296,0.275739004461693,40.8759448101351,430189.0,42756037.871582,0.7872340425531915,8.794079590099487
ARRES,1,1,55,29,0.707748927884129,42.7604933068197,250313.0,11607951.7213135,0.5272727272727272,4.738131353442299
ARSÈGUEL,1,1,65,44,1.58586119071604,42.3520800614544,250328.0,10493809.1135254,0.676923076923077,6.194128299534431
ARTESA DE LLEIDA,1,1,1129,751,0.698064605894092,41.5438706653905,250334.0,24226487.3238525,0.6651904340124003,46.601885981564834
ARTESA DE SEGRE,1,1,1333,824,1.04746083469441,41.8763859297086,250349.0,4832121.2121582,0.6181545386346586,275.8622852104809
ARTESA DE SEGRE,1,2,940,508,1.08246699975349,41.9379488774447,250349.0,171207172.520386,0.5404255319148936,5.490424181195284
ARTÉS,1,1,1060,570,1.94966842025146,41.7987127007789,80109.0,238853.775878906,0.5377358490566038,4437.861600050227
ARTÉS,2,1,1181,699,1.94828286008859,41.7942589717209,80109.0,336463.113891602,0.5918712955122777,3510.0430069148133
ARTÉS,2,2,687,370,1.95766679481391,41.7964561409477,80109.0,17163656.7520752,0.5385735080058224,40.02643550401561
ARTÉS,2,3,1322,839,1.95579350022196,41.7951109679839,80109.0,334309.755981445,0.6346444780635401,3954.4164546408692
ASCÓ,1,1,1297,702,0.550176975532554,41.1643956766222,430192.0,73525661.9650879,0.5412490362374711,17.640099597006728
ASPA,1,1,173,122,0.674936699590547,41.4963155549646,250365.0,10050735.7110596,0.7052023121387283,17.212670293343276
LES AVELLANES I SANTA LINYA,1,1,368,201,0.784482732511246,41.9190173740731,250371.0,102924825.175903,0.5461956521739131,3.5754250674807753
AVINYONET DE PUIGVENTÓS,1,1,1211,687,2.9142634911986,42.2528446248909,170123.0,12315243.7749023,0.5672997522708505,98.333416872181
