MUNICIPI,DISTRICTE,SECCIO,MUNDISSEC,xcoord,ycoord
"080193","02","019","08019302019",2.17703565262024,41.3997018960754
"080193","02","020","08019302020",2.17906635426583,41.4006152134998
"080193","02","021","08019302021",2.18150145485339,41.4027763856818
"080193","02","022","08019302022",2.1839799241739,41.4041217889547
"080193","02","023","08019302023",2.18223728137724,41.4043487247069
"080193","02","024","08019302024",2.17917933528922,41.4023302981352
"080193","02","025","08019302025",2.18000196130757,41.4043770431926
"080193","02","026","08019302026",2.17834777226311,41.4039887137333
"080193","02","027","08019302027",2.17722317175538,41.4056862358807
"080193","02","028","08019302028",2.17943392186372,41.4056441113002
"080193","02","029","08019302029",2.18111034687805,41.4052026690027
"080193","02","030","08019302030",2.18223240911098,41.406040235753
"080193","02","031","08019302031",2.18110474996819,41.4068949711314
"080193","02","032","08019302032",2.1794379637928,41.4073335691927
"080193","02","033","08019302033",2.17773230924138,41.4077739312332
"080193","02","034","08019302034",2.17662920400112,41.4069591545725
"080193","02","035","08019302035",2.17552702319927,41.4061405130551
"080193","02","036","08019302036",2.17525014452429,41.4075557113904
"080193","02","037","08019302037",2.17658833189213,41.4086370517171
"080193","02","038","08019302038",2.17772745009694,41.4094508324396
"080193","02","039","08019302039",2.17522342435822,41.4092204922535
"080193","02","040","08019302040",2.17520992410723,41.4109193810924
"080193","02","041","08019302041",2.17346872278008,41.4098124774283
"080193","02","042","08019302042",2.17158396446202,41.4082993858368
"080193","02","043","08019302043",2.16986705767879,41.4070052380587
"080193","02","044","08019302044",2.1709900447985,41.4061431883058
"080193","02","045","08019302045",2.17216789454089,41.4070329404074
"080193","02","046","08019302046",2.17350407857546,41.4081262494687
"080193","02","047","08019302047",2.17353891489918,41.4064682099981
"080193","02","048","08019302048",2.17211225651809,41.405283040242
"080193","02","049","08019302049",2.17435902130544,41.4044045554383
"080193","02","050","08019302050",2.17725763656885,41.4031713361391
"080193","02","051","08019302051",2.17606372797372,41.4022782157523
"080193","02","052","08019302052",2.17423871862001,41.4018655759941
"080193","02","053","08019302053",2.17284726539587,41.4012271091118
"080193","02","054","08019302054",2.17147573948387,41.4030824896353
"080193","02","055","08019302055",2.16918387920975,41.4013726499063
"080193","02","056","08019302056",2.17080308783956,41.4002974793437
"080193","02","057","08019302057",2.16799695386494,41.3997345904365
"080193","02","058","08019302058",2.16578521724553,41.4005293481507
"080193","02","059","08019302059",2.16354627995936,41.3988410293457
"080193","02","060","08019302060",2.16576752312949,41.3987309029723
"080193","02","061","08019302061",2.17223083172871,41.3988970943256
"080193","02","062","08019302062",2.16881388369663,41.3980464747344
"080193","02","063","08019302063",2.16542564264574,41.3972095611799
"080193","02","064","08019302064",2.16693656490021,41.396276699544
"080193","02","065","08019302065",2.16919904821912,41.3962687716755
"080193","02","066","08019302066",2.17372251807666,41.3979676483823
"080193","02","067","08019302067",2.17485490872816,41.397109131218
"080193","02","068","08019302068",2.17607516666528,41.396267384515
"080193","02","069","08019302069",2.1731105869841,41.395854424221
"080193","02","070","08019302070",2.16976899860881,41.3949939494604
"080193","02","071","08019302071",2.17089617244474,41.3941411864984
"080193","02","072","08019302072",2.17208783012851,41.3932397339611
"080193","02","073","08019302073",2.17559389545737,41.3933007607932
"080193","02","074","08019302074",2.17789984606818,41.3914983426694
"080193","02","075","08019302075",2.17536063154377,41.3899551145488
"080193","02","076","08019302076",2.17334484021702,41.3914374194822
"080193","02","077","08019302077",2.1693611509377,41.3880539647045
"080193","02","078","08019302078",2.16793488070028,41.3918033286806
"080193","02","079","08019302079",2.16504050346333,41.3897067652936
"080193","02","080","08019302080",2.16453859108911,41.394451986763
"080193","02","081","08019302081",2.16169851881489,41.3923468101013
"080193","02","082","08019302082",2.16174649543731,41.3966255445884
"080193","02","083","08019302083",2.15837666667611,41.3947208444748
"080193","02","084","08019302084",2.1562190810693,41.3924652671981
"080193","02","085","08019302085",2.15390565978739,41.3940645728331
"080193","02","086","08019302086",2.15188076768056,41.3931461292712
"080193","02","087","08019302087",2.15451884966564,41.3911826191779
"080193","02","088","08019302088",2.15734463546292,41.3907539419906
"080193","02","089","08019302089",2.15847288260747,41.3898999350644
"080193","02","090","08019302090",2.1596004765004,41.3890454478069
"080193","02","091","08019302091",2.16248239423976,41.3877156538333
"080193","02","092","08019302092",2.16078559987402,41.3864398443184
"080193","02","093","08019302093",2.15902182070295,41.3860663253694
"080193","02","094","08019302094",2.16021401275468,41.3843095278099
"080193","02","095","08019302095",2.15794540396859,41.3834549930107
"080193","02","096","08019302096",2.15779932918779,41.3852603766182
"080193","02","097","08019302097",2.15593618014636,41.384943187694
"080193","02","098","08019302098",2.15676703620822,41.3877675603722
"080193","02","099","08019302099",2.15556731056127,41.3869836284827
"080193","02","100","08019302100",2.15428616057217,41.3862428960782
"080193","02","101","08019302101",2.15393187374443,41.3881874197178
"080193","02","102","08019302102",2.15347019994152,41.3903964844243
"080193","02","103","08019302103",2.15176564416398,41.3891162576625
"080193","02","104","08019302104",2.149400678785,41.3899002196573
"080193","02","105","08019302105",2.1511163878841,41.3911837755627
"080193","02","106","08019302106",2.14989720371451,41.3929272072916
"080193","02","107","08019302107",2.14848515638229,41.3922889061125
"080193","02","108","08019302108",2.14710595341899,41.3916278597375
"080193","02","109","08019302109",2.14551968129348,41.3909807586905
"080193","02","110","08019302110",2.14726683243006,41.388711673794
"080193","02","111","08019302111",2.14430493524872,41.3885562521955
"080193","02","112","08019302112",2.14357227047626,41.387083375196
"080193","02","113","08019302113",2.14544878117137,41.3869155201614
"080193","02","114","08019302114",2.14658446539935,41.3860633017463
"080193","02","115","08019302115",2.14827981161005,41.3856352584878
"080193","02","116","08019302116",2.14940719903343,41.386490289266
"080193","02","117","08019302117",2.15053366230394,41.3873436362322
"080193","02","118","08019302118",2.1524237419608,41.3859375240451
"080193","02","119","08019302119",2.15054390871639,41.3856360963706
"080193","02","120","08019302120",2.14941284176183,41.3847816954842
"080193","02","121","08019302121",2.15077735002167,41.3842513708221
"080193","02","122","08019302122",2.14828562312492,41.3839299966612
"080193","02","123","08019302123",2.14715592253286,41.3847832757468
"080193","02","124","08019302124",2.14489866056023,41.3847803812967
"080193","02","125","08019302125",2.14349363174149,41.3853357753731
"080193","02","126","08019302126",2.14342769512535,41.3835933207253
"080193","02","127","08019302127",2.14450283463906,41.3827553413944
"080193","02","128","08019302128",2.14728246760168,41.3830148035959
"080193","02","129","08019302129",2.14524785150974,41.3818455374723
"080193","02","130","08019302130",2.14442183965468,41.3799862178498
"080193","02","131","08019302131",2.14602183681182,41.3788335340016
"080193","02","132","08019302132",2.14716027115675,41.3796771094957
"080193","02","133","08019302133",2.14581611399267,41.3806640876894
"080193","02","134","08019302134",2.14708191251609,41.3813942538084
"080193","02","135","08019302135",2.14884790291204,41.380950029208
"080193","02","136","08019302136",2.14835355269139,41.3821282348609
"080193","02","137","08019302137",2.15021755734472,41.3824471818922
"080193","02","138","08019302138",2.15206629663497,41.3834917817165
"080193","02","139","08019302139",2.15465617589441,41.3842114815912
"080193","02","140","08019302140",2.15336697612226,41.3826538645364
"080193","02","141","08019302141",2.15166915072716,41.3813764167942
"080193","02","142","08019302142",2.15336634383518,41.3809540239617
"080193","02","143","08019302143",2.15562668925824,41.3826530441063
"080193","02","144","08019302144",2.15681707120203,41.3817529404576
"080193","02","145","08019302145",2.15455527129216,41.3800538450165
"080193","02","146","08019302146",2.15285370493831,41.3787768527767
"080193","02","147","08019302147",2.15110196075028,41.3801018563279
"080193","02","148","08019302148",2.148824146926,41.3783894379018
"080193","02","149","08019302149",2.15058565116965,41.3770634363556
"080193","02","150","08019302150",2.15188814886883,41.3757198679561
"080193","02","151","08019302151",2.15334249342327,41.376740914212
"080193","02","152","08019302152",2.15410631754184,41.3778280409808
"080193","02","153","08019302153",2.15536010563133,41.3769423650906
"080193","02","154","08019302154",2.15496140765481,41.3755060280765
"080193","02","155","08019302155",2.15687833962519,41.3757610755372
"080193","02","156","08019302156",2.1586826771183,41.376079075023
"080193","02","157","08019302157",2.15755670007468,41.3769302619772
"080193","02","158","08019302158",2.15699407162302,41.3782062716539
"080193","02","159","08019302159",2.15580464810838,41.3791054890849
"080193","02","160","08019302160",2.15806668377781,41.3808066759192
"080193","02","161","08019302161",2.15868922602852,41.379483874787
"080193","02","162","08019302162",2.15982018345323,41.3803363685892
"080193","02","163","08019302163",2.16033456019906,41.3825137447078
"080193","02","164","08019302164",2.16291657895612,41.3841105372079
"080193","02","165","08019302165",2.16152291416704,41.3816198117993
"080193","02","166","08019302166",2.16191581343247,41.3802718013429
"080193","02","167","08019302167",2.15928255037279,41.3782800146598
"080193","02","168","08019302168",2.16112304362946,41.3780024438967
"080193","02","169","08019302169",2.16376321570553,41.3773632464077
"080193","02","170","08019302170",2.16591215957675,41.3757681911277
"080193","02","171","08019302171",2.16318144478415,41.3753771949766
"080193","02","172","08019302172",2.16262918883093,41.3765065060213
"080193","02","173","08019302173",2.16043913236951,41.3757779803331
"080193","03","001","08019303001",2.15808787311476,41.3743151582896
"080193","03","002","08019303002",2.15728258914185,41.372877189221
"080193","03","003","08019303003",2.15650535518918,41.3741714545557
"080193","03","004","08019303004",2.15506530115728,41.3739785212738
"080193","03","005","08019303005",2.15617755927788,41.3714755246295
"080193","03","006","08019303006",2.15916740943204,41.3716234383005
"080193","03","007","08019303007",2.15922078111136,41.3727812758695
"080193","03","008","08019303008",2.15997705221209,41.3735939115537
"080193","03","009","08019303009",2.16029773249562,41.3745453129102
"080193","03","010","08019303010",2.1622302457206,41.3742896369076
"080193","03","011","08019303011",2.16170085583987,41.3730350988309
"080193","03","012","08019303012",2.16389626191888,41.3740789314829
"080193","03","013","08019303013",2.16383334796822,41.3724860256147
"080193","03","014","08019303014",2.16524790751672,41.3727822107568
"080193","03","015","08019303015",2.16621634006034,41.3740932127424
"080193","03","016","08019303016",2.16849562339693,41.3743377927613
"080193","03","017","08019303017",2.16694420150829,41.3726089093965
"080193","03","018","08019303018",2.16881276829197,41.3726733217273
"080193","03","019","08019303019",2.17088306317469,41.3739971753776
"080193","03","020","08019303020",2.17438129896616,41.3729949720466
"080193","03","021","08019303021",2.17193904987347,41.3728539239778
"080193","03","022","08019303022",2.16978633338447,41.3714677036716
"080193","03","023","08019303023",2.16485931770542,41.3713548960847
"080193","03","024","08019303024",2.15683044290818,41.3638266133634
"080193","03","025","08019303025",2.17573033539077,41.3511128251268
"080193","03","025","08019303025",2.14006678025796,41.3384790724148
"080193","03","026","08019303026",2.13466792558649,41.3556363813579
"080193","03","027","08019303027",2.13495987922744,41.3587861200571
"080193","03","028","08019303028",2.13617496151937,41.3618171167764
"080193","03","029","08019303029",2.13690964188701,41.358655458215
"080193","03","030","08019303030",2.13883984868256,41.357345669828
"080193","03","031","08019303031",2.14204413970693,41.3579948799667
"080193","03","032","08019303032",2.14403870327644,41.3568513139662
"080193","03","033","08019303033",2.141423106646,41.3605797856759
"080193","03","211","08019303211",2.1401236904203,41.3601220582623
"080193","03","212","08019303212",2.13795359689669,41.3629921815146
"080193","03","036","08019303036",2.13794942981512,41.365663924189
"080193","03","037","08019303037",2.14001002447895,41.3622860188953
"080193","03","038","08019303038",2.14497160329268,41.3616748473826
"080193","03","039","08019303039",2.14087692794534,41.3642137629047
"080193","03","040","08019303040",2.1409584055575,41.3673003304175
"080193","03","041","08019303041",2.14227153717394,41.3688064252098
"080193","03","042","08019303042",2.1458320760169,41.3694881965151
"080193","03","043","08019303043",2.14362365267088,41.3698954237165
"080193","03","044","08019303044",2.14544012903152,41.3715130507986
"080193","03","045","08019303045",2.14868492374496,41.3716007776802
"080193","03","046","08019303046",2.14721794760521,41.3726373858131
"080193","03","047","08019303047",2.14648744211401,41.3758717707651
"080193","03","048","08019303048",2.14422511777706,41.3783612411967
"080193","03","049","08019303049",2.14355435131544,41.3771586723549
"080193","03","050","08019303050",2.14223787891528,41.3759778906859
