Nom municipi,Densitat,MUNICIPI
Sant Martí Vell,14.34,171735
Sant Martí de Llémena,14.87,171729
Sant Miquel de Campmajor,6.9,171740
Sant Miquel de Fluvià,217.43,171753
Sant Mori,22.13,171766
Sant Pau de Segúries,79.08,171772
Sant Pere Pescador,113.59,171788
Santa Coloma de Farners,189.28,171805
Santa Cristina d'Aro,78.33,171812
Santa Llogaia d'Àlguema,193.68,171827
Santa Pau,32.94,171848
Sarrià de Ter,1245.0,171864
"Saus, Camallera i Llampaies",75.09,171870
Serinyà,65.11,171903
Serra de Daró,28.1,171910
Setcases,3.46,171925
Sils,207.99,171931
Siurana,16.29,170524
Susqueda,1.84,171946
Terrades,16.1,171962
Torrent,20.5,171978
Torroella de Fluvià,41.6,171984
Torroella de Montgrí,179.61,171997
Tortellà,73.69,172001
Toses,2.9,172018
Tossa de Mar,150.73,172023
Ullastret,24.68,172057
Ullà,161.23,172044
Ultramort,52.33,172039
Urús,11.26,172060
Vall-llobrega,163.09,172095
Vallfogona de Ripollès,5.0,171707
Ventalló,33.71,172109
Verges,120.52,172116
Vidreres,165.65,172137
Vidrà,5.15,172121
Vila-sacra,126.33,172305
Vilabertran,431.74,172142
Vilablareix,494.03,172155
Viladamat,39.15,172174
Viladasens,13.12,172168
Vilademuls,13.58,172180
Viladrau,20.65,172207
Vilafant,645.36,172214
Vilajuïga,85.19,172235
Vilallonga de Ter,6.2,172240
Vilamacolum,67.32,172253
Vilamalla,131.93,172266
Vilamaniscle,38.55,172272
Vilanant,22.84,172288
Vilaür,28.73,172229
Vilobí d'Onyar,102.24,172333
Vilopriu,12.44,172327
"Vulpellac, Fonteta i Peratallada",33.5,179026
el Far d'Empordà,66.89,170059
el Port de la Selva,23.03,171404
l'Armentera,169.82,170118
l'Escala,628.47,170622
la Bisbal d'Empordà,541.7,170221
la Cellera de Ter,133.56,171899
la Jonquera,58.35,170865
la Pera,37.83,171306
la Selva de Mar,27.08,171886
la Tallada d'Empordà,27.35,171959
la Vajol,18.94,170144
la Vall d'en Bas,34.1,172076
